sample,gene,Cq
WTC,EF1A,20.221483
KOC,EF1A,19.836111
OXC,EF1A,20.989912
WTS,EF1A,20.992767
KOS,EF1A,21.141434
OXS,EF1A,20.480022
WTC,SESA4,30.368128
KOC,SESA4,28.089123
OXC,SESA4,31.050638
WTS,SESA4,26.21004
KOS,SESA4,26.04132
OXS,SESA4,25.014164
WTC,M17,26.350153
KOC,M17,22.808542
OXC,M17,28.971754
WTS,M17,19.713888
KOS,M17,18.963818
OXS,M17,20.073524
WTC,EF1A,20.414383
KOC,EF1A,19.788887
OXC,EF1A,20.346682
WTS,EF1A,21.377073
KOS,EF1A,20.581652
OXS,EF1A,21.268831
WTC,SESA4,30.896204
KOC,SESA4,28.26079
OXC,SESA4,30.534878
WTS,SESA4,26.589457
KOS,SESA4,25.621141
OXS,SESA4,25.961985
WTC,M17,26.402472
KOC,M17,23.22951
OXC,M17,28.588062
WTS,M17,19.987028
KOS,M17,18.651348
OXS,M17,21.057997
WTC,EF1A,20.618872
KOC,EF1A,19.79571
OXC,EF1A,20.23364
WTS,EF1A,21.297998
KOS,EF1A,21.05746
OXS,EF1A,21.135477
WTC,SESA4,30.98834
KOC,SESA4,29.0113
OXC,SESA4,30.595451
WTS,SESA4,26.695082
KOS,SESA4,25.775919
OXS,SESA4,27.623802
WTC,M17,27.586472
KOC,M17,24.334368
OXC,M17,27.441862
WTS,M17,20.049212
KOS,M17,19.472235
OXS,M17,21.716372
WTC,EF1A,20.52466
KOC,EF1A,20.41581
OXC,EF1A,20.811718
WTS,EF1A,20.374851
KOS,EF1A,20.4493
OXS,EF1A,20.70433
WTC,SESA4,32.349045
KOC,SESA4,29.12095
OXC,SESA4,30.972145
WTS,SESA4,25.868092
KOS,SESA4,25.530418
OXS,SESA4,27.374199
WTC,M17,27.158531
KOC,M17,24.56168
OXC,M17,28.105484
WTS,M17,19.41843
KOS,M17,19.077938
OXS,M17,21.192953
WTC,UBC21,26.905474
KOC,UBC21,26.654203
OXC,UBC21,27.242346
WTS,UBC21,27.348108
KOS,UBC21,27.39109
OXS,UBC21,26.965292
WTC,EPR1,30.62186
KOC,EPR1,29.857971
OXC,EPR1,32.776936
WTS,EPR1,27.229836
KOS,EPR1,27.647726
OXS,EPR1,26.924782
WTC,Retro,32.643333
KOC,Retro,28.268732
OXC,Retro,34.046417
WTS,Retro,37.307724
KOS,Retro,28.813763
OXS,Retro,35.80793
WTC,UBC21,27.13436
KOC,UBC21,26.67253
OXC,UBC21,26.916449
WTS,UBC21,27.787342
KOS,UBC21,27.061806
OXS,UBC21,27.555017
WTC,EPR1,31.421078
KOC,EPR1,29.823957
OXC,EPR1,32.396114
WTS,EPR1,27.548357
KOS,EPR1,27.265995
OXS,EPR1,27.937725
WTC,Retro,33.816593
KOC,Retro,28.352486
OXC,Retro,33.800568
WTS,Retro,34.919437
KOS,Retro,27.955198
OXS,Retro,NA
WTC,UBC21,27.615957
KOC,UBC21,26.702057
OXC,UBC21,26.88292
WTS,UBC21,27.60446
KOS,UBC21,27.536478
OXS,UBC21,27.743113
WTC,EPR1,31.540253
KOC,EPR1,30.260757
OXC,EPR1,31.703106
WTS,EPR1,27.91404
KOS,EPR1,27.503445
OXS,EPR1,29.567337
WTC,Retro,33.565205
KOC,Retro,27.995642
OXC,Retro,34.507607
WTS,Retro,35.77885
KOS,Retro,28.576698
OXS,Retro,36.026566
WTC,UBC21,27.395441
KOC,UBC21,27.066534
OXC,UBC21,27.321825
WTS,UBC21,26.993753
KOS,UBC21,27.216835
OXS,UBC21,27.452354
WTC,EPR1,31.32106
KOC,EPR1,30.561476
OXC,EPR1,32.274807
WTS,EPR1,27.165741
KOS,EPR1,27.312078
OXS,EPR1,28.93488
WTC,Retro,33.006107
KOC,Retro,28.440063
OXC,Retro,34.469795
WTS,Retro,34.551624
KOS,Retro,28.251022
OXS,Retro,37.402412
WTC,SESA5,27.801523
KOC,SESA5,24.978191
OXC,SESA5,29.288002
WTS,SESA5,20.958843
KOS,SESA5,20.588203
OXS,SESA5,20.69176
WTC,PecL,26.754564
KOC,PecL,26.688688
OXC,PecL,26.702463
WTS,PecL,29.368603
KOS,PecL,29.546713
OXS,PecL,27.849968
WTC,SESA5,28.61696
KOC,SESA5,24.876057
OXC,SESA5,29.2493
WTS,SESA5,21.209816
KOS,SESA5,20.090363
OXS,SESA5,20.861908
WTC,PecL,26.81906
KOC,PecL,26.730223
OXC,PecL,26.435768
WTS,PecL,28.427528
KOS,PecL,29.421116
OXS,PecL,28.45407
WTC,SESA5,NA
KOC,SESA5,26.122122
OXC,SESA5,29.611805
WTS,SESA5,21.288918
KOS,SESA5,20.656301
OXS,SESA5,22.366285
WTC,PecL,27.631565
KOC,PecL,26.97544
OXC,PecL,26.26053
WTS,PecL,28.894829
KOS,PecL,30.005232
OXS,PecL,27.975683
WTC,SESA5,29.59336
KOC,SESA5,26.345087
OXC,SESA5,29.83384
WTS,SESA5,20.318174
KOS,SESA5,20.38522
OXS,SESA5,22.229126
WTC,PecL,27.152296
KOC,PecL,27.368681
OXC,PecL,26.806343
WTS,PecL,28.081348
KOS,PecL,29.558159
OXS,PecL,27.362484
WTC,DormAux,36.164906
KOC,DormAux,35.284073
OXC,DormAux,38.916275
WTS,DormAux,30.559467
KOS,DormAux,29.296156
OXS,DormAux,29.592945
WTC,CRU3,28.191807
KOC,CRU3,25.169048
OXC,CRU3,30.745985
WTS,CRU3,21.685953
KOS,CRU3,20.80881
OXS,CRU3,21.50677
WTC,DormAux,36.361183
KOC,DormAux,35.578426
OXC,DormAux,38.01766
WTS,DormAux,30.891207
KOS,DormAux,28.402758
OXS,DormAux,30.344233
WTC,CRU3,28.445255
KOC,CRU3,25.18989
OXC,CRU3,29.598103
WTS,CRU3,21.961628
KOS,CRU3,20.456835
OXS,CRU3,22.201471
WTC,DormAux,38.065235
KOC,DormAux,36.489674
OXC,DormAux,37.447937
WTS,DormAux,30.830227
KOS,DormAux,29.37481
OXS,DormAux,31.620035
WTC,CRU3,29.55653
KOC,CRU3,26.625406
OXC,CRU3,29.577076
WTS,CRU3,21.956757
KOS,CRU3,21.069225
OXS,CRU3,23.43168
WTC,DormAux,37.314827
KOC,DormAux,36.793278
OXC,DormAux,36.780506
WTS,DormAux,29.995613
KOS,DormAux,28.656101
OXS,DormAux,31.392267
WTC,CRU3,29.254442
KOC,CRU3,26.859661
OXC,CRU3,30.087595
WTS,CRU3,21.355598
KOS,CRU3,20.721817
OXS,CRU3,23.289047
